Дата;Запуск;Космодром;Стартовый комплекс;Ракета-носитель;Результат
24.06.05 00:00:00;Запуск космического аппарата «Экспресс-АМ3»;Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-К с РБ  ;Успешный 
17.06.05 00:00:00;Запуск грузового космического корабля «Прогресс М-53»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-У  ;Успешный 
31.05.05 00:00:00;Запуск космического аппарата «Фотон-М» №2;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-У  ;Успешный 
22.05.05 00:00:00;Запуск космического аппарата DirecTV 8;Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-М  ;Успешный 
15.04.05 00:00:00;Запуск космического корабля «Союз ТМА-6»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-ФГ  ;Успешный 
30.03.05 00:00:00;Запуск космического аппарата «Экспресс-АМ2»;Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-К с РБ  ;Успешный 
28.02.05 00:00:00;Запуск грузового космического корабля «Прогресс М-52»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-У  ;Успешный 
03.02.05 00:00:00;Запуск космического аппарата АМС-12;Байконур  ;СК РН типа Протон. Пл. №81. ПУ №24  ;Протон-М  ;Успешный 
27.12.06 00:00:00;Запуск космического аппарата COROT;Байконур  ;СК 17П32-6 РН типа Р-7. Пл. №31. ПУ №6  ;Союз-2 с РБ Фрегат  ;Успешный 
25.12.06 00:00:00;Запуск космических аппаратов «Глонасс-М»;Байконур  ;СК РН типа Протон. Пл. №81. ПУ №24  ;Протон-К с РБ  ;Успешный 
19.12.06 00:00:00;Запуск космического аппарата SAR-Lupe;Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
12.12.06 00:00:00;Запуск космического аппарата Measat-3;Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-М  ;Успешный 
