Дата;Запуск;Космодром;Стартовый комплекс;Ракета-носитель;Результат
12.06.68 16:14:00;"Запуск космического аппарата ДС-У1-Я (""Космос-225"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
30.05.68 23:29:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-222"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
24.05.68 10:04:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-221"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
26.04.68 07:42:00;"Запуск космического аппарата ДС-У2-Д (""Космос-219"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
26.04.68 07:42:00;"Запуск космического аппарата ДС-У2-Д (""Космос-219"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
19.04.68 01:29:00;"Запуск космического аппарата ДС-У1-А (""Космос-215"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
19.04.68 01:29:00;"Запуск космического аппарата ДС-У1-А (""Космос-215"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
09.04.68 14:26:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-211"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
06.03.68 14:02:00;"Запуск космического аппарата ДС-П1-И (""Космос-204"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
06.03.68 14:02:00;"Запуск космического аппарата ДС-П1-И (""Космос-204"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
20.02.68 13:03:00;"Запуск космического аппарата ДС-У2-В (""Космос-202"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
20.02.68 13:03:00;"Запуск космического аппарата ДС-У2-В (""Космос-202"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
20.01.68 00:59:00;"Запуск космического аппарата Целина-О (""Космос-200"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
20.01.68 00:59:00;"Запуск космического аппарата Целина-О (""Космос-200"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
26.12.67 12:01:00;"Запуск космического аппарата ДС-У2-В (""Космос-197"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
26.12.67 12:01:00;"Запуск космического аппарата ДС-У2-В (""Космос-197"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
19.12.67 09:30:00;"Запуск космического аппарата ДС-У1-Г (""Космос-196"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
19.12.67 09:30:00;"Запуск космического аппарата ДС-У1-Г (""Космос-196"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
21.11.67 17:29:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-191"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
30.10.67 20:59:00;"Запуск космического аппарата Целина-О (""Космос-189"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
30.10.67 20:59:00;"Запуск космического аппарата Целина-О (""Космос-189"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
12.09.67 20:00:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-176"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
24.08.67 07:59:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-173"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
16.06.67 07:44:00;"Запуск космического аппарата ДС-У3-С (""Космос-166"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
16.06.67 07:44:00;"Запуск космического аппарата ДС-У3-С (""Космос-166"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
12.06.67 21:06:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-165"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
05.06.67 08:03:00;"Запуск космического аппарата ДС-У2-МП (""Космос-163"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
05.06.67 08:03:00;"Запуск космического аппарата ДС-У2-МП (""Космос-163"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
25.03.67 09:59:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-152"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
21.03.67 13:07:00;"Запуск космического аппарата ДС-МО (""Космос-148"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
16.03.67 20:30:00;"Запуск космического аппарата ДС-П1-И (""Космос-148"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
16.03.67 20:30:00;"Запуск космического аппарата ДС-П1-И (""Космос-148"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
03.03.67 09:44:00;"Запуск космического аппарата ДС-У2-М (""Космос-145"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
14.02.67 13:04:00;"Запуск космического аппарата ДС-У2-И (""Космос-142"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
14.02.67 13:04:00;"Запуск космического аппарата ДС-У2-И (""Космос-142"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
21.12.66 16:12:00;"Запуск космического аппарата ДС-У2-Д (""Космос-137"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
21.12.66 16:12:00;"Запуск космического аппарата ДС-У2-Д (""Космос-137"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
12.12.66 23:38:00;"Запуск космического аппарата ДС-У2-МП (""Космос-135"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
12.12.66 23:38:00;"Запуск космического аппарата ДС-У2-МП (""Космос-135"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
08.06.66 14:02:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-120"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
24.05.66 08:31:00;"Запуск космического аппарата ДС-У2-И (""Космос-119"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
24.05.66 08:31:00;"Запуск космического аппарата ДС-У2-И (""Космос-119"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
26.04.66 13:04:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-116"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
12.02.66 21:00:00;"Запуск космического аппарата ДС-У1-Г (""Космос-108"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
12.02.66 00:00:00;"Запуск космического аппарата ДС-У1-Г (""Космос-108"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
25.01.66 15:28:00;"Запуск космического аппарата ДС-П1-И (""Космос-106"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
25.01.66 15:28:00;"Запуск космического аппарата ДС-П1-И (""Космос-106"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
21.12.65 09:14:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-101"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
26.11.65 15:14:00;"Запуск космического аппарата ДС-У2-М (""Космос-97"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
26.11.65 15:14:00;"Запуск космического аппарата ДС-У2-М (""Космос-97"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
04.11.65 08:31:00;"Запуск космического аппарата ДС-У2-В (""Космос-95"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
04.11.65 08:31:00;"Запуск космического аппарата ДС-У2-В (""Космос-95"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
19.10.65 08:44:00;"Запуск космического аппарата ДС-У2-В (""Космос-93"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
19.10.65 08:44:00;"Запуск космического аппарата ДС-У2-В (""Космос-93"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
23.07.65 07:33:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-76"")";Капустин Яр  ;СК РН Космос  ;Космос  ;Успешный 
02.07.65 09:30:00;"Запуск космического аппарата ДС-А1 (""Космос-70"")";Капустин Яр  ;СК РН Космос  ;Космос  ;Успешный 
30.01.65 12:36:00;"Запуск космического аппарата ДС-А1 (""Космос-53"")";Капустин Яр  ;СК РН Космос  ;Космос  ;Успешный 
10.12.64 02:02:00;"Запуск космического аппарата ДС-МТ (""Космос-51"")";Капустин Яр  ;СК РН Космос  ;Космос  ;Успешный 
01.12.64 00:00:00;Запуск космического аппарата ДС-2;Капустин Яр  ;СК РН Космос  ;Космос  ;Аварийный 
24.10.64 08:16:00;"Запуск космического аппарата ДС-МГ (""Космос-49"")";Капустин Яр  ;СК РН Космос  ;Космос  ;Успешный 
30.07.64 06:36:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-36"")";Капустин Яр  ;СК РН Космос  ;Космос  ;Успешный 
06.06.64 09:00:00;"Запуск космического аппарата ДС-МТ (""Космос-31"")";Капустин Яр  ;СК РН Космос  ;Космос  ;Успешный 
18.03.64 18:07:00;"Запуск космического аппарата ДС-МГ (""Космос-26"")";Капустин Яр  ;СК РН Космос  ;Космос  ;Успешный 
27.02.64 16:26:00;"Запуск космического аппарата ДС-П1 (""Космос-25"")";Капустин Яр  ;СК РН Космос  ;Космос  ;Успешный 
06.08.63 06:00:00;"Запуск космического аппарата ДС-П1 (""Космос-19"")";Капустин Яр  ;СК РН Космос  ;Космос  ;Успешный 
22.05.63 06:00:00;"Запуск космического аппарата ДС-А1 (""Космос-17"")";Капустин Яр  ;СК РН Космос  ;Космос  ;Успешный 
20.10.62 07:00:00;"Запуск космического аппарата ДС-А1 (""Космос-11"")";Капустин Яр  ;СК РН Космос  ;Космос  ;Успешный 
18.08.62 18:00:00;"Запуск космического аппарата ДС-К8 (""Космос-8"")";Капустин Яр  ;СК РН Космос  ;Космос  ;Успешный 
30.06.62 19:00:00;"Запуск космического аппарата ДС-П1 (""Космос-6"")";Капустин Яр  ;СК РН Космос  ;Космос  ;Успешный 
16.03.62 14:59:00;"Запуск космического аппарата ДС-2 (""Космос-1"")";Капустин Яр  ;СК РН Космос  ;Космос  ;Успешный 
05.12.79 12:00:00;"Запуск космического аппарата Тайфун-1Б (""Космос-1146"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
01.12.79 00:00:00;"Запуск космического аппарата АУОС-З-Р-П-ИК (""Интеркосмос-20"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
27.11.79 12:55:00;"Запуск космического аппарата Целина-Д (""Космос-1145"")";Плесецк  ; ;Восток-2М  ;Успешный 
26.10.79 21:12:00;"Запуск космического аппарата Целина-Д (""Космос-1143"")";Плесецк  ; ;Восток-2М  ;Успешный 
20.07.79 14:58:00;"Запуск космического аппарата Целина-Д (""Космос-1116"")";Плесецк  ; ;Восток-2М  ;Успешный 
11.07.79 18:41:00;"Запуск космического аппарата Целина-ОМ (""Космос-1114"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
06.07.79 11:20:00;"Запуск космического аппарата Тайфун-2 (""Космос-1112"")";Капустин Яр  ;СК РН Космос  ;Космос-3М  ;Успешный 
14.04.79 08:27:00;"Запуск космического аппарата Целина-Д (""Космос-1093"")";Плесецк  ; ;Восток-2М  ;Успешный 
27.02.79 20:00:00;"Запуск космического аппарата АУОС-З-И-ИК (""Интеркосмос-19"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
14.02.79 00:41:00;"Запуск космического аппарата Целина-Д (""Космос-1077"")";Плесецк  ; ;Восток-2М  ;Успешный 
12.02.79 16:00:00;"Запуск космического аппарата Океан-Э №1 (""Космос-1076"")";Плесецк  ; ;Циклон-3  ;Успешный 
08.02.79 13:00:00;"Запуск космического аппарата Тайфун-1 (""Космос-1075"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
23.12.78 11:39:00;"Запуск космического аппарата Тайфун-2 (""Космос-1065"")";Капустин Яр  ;СК РН Космос  ;Космос-3М  ;Успешный 
19.12.78 04:35:00;"Запуск космического аппарата Целина-Д (""Космос-1063"")";Плесецк  ; ;Восток-2М  ;Успешный 
15.12.78 16:12:00;"Запуск космического аппарата Целина-ОМ (""Космос-1062"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
24.10.78 22:00:00;"Запуск космического аппарата АУОС-З-М-ИК (""Интеркосмос-18"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
10.10.78 22:44:00;"Запуск космического аппарата Целина-Д (""Космос-1043"")";Плесецк  ; ;Восток-2М  ;Успешный 
28.06.78 20:35:00;"Запуск космического аппарата Целина-Д (""Космос-1025"")";Плесецк  ; ;Циклон-3  ;Успешный 
17.05.78 17:39:00;"Запуск космического аппарата Целина-ОК (""Космос-1008"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
16.05.78 13:40:00;"Запуск космического аппарата Тайфун-1 (""Космос-1007"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
12.05.78 14:00:00;"Запуск космического аппарата Тайфун-1 (""Космос-1006"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
12.05.78 07:07:00;"Запуск космического аппарата Целина-Д (""Космос-1005"")";Плесецк  ; ;Восток-2М  ;Успешный 
10.01.78 16:23:00;"Запуск космического аппарата Целина-Д (""Космос-975"")";Плесецк  ; ;Восток-2М  ;Успешный 
27.12.77 12:20:00;"Запуск космического аппарата ЭПН 03.380 (""Космос-973"")";Плесецк  ;СК 132/1 (РН Космос)  ;Циклон-3  ;Успешный 
13.12.77 18:53:00;"Запуск космического аппарата Тюльпан (""Космос-967"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
08.12.77 14:00:00;"Запуск космического аппарата Тайфун-2 (""Космос-965"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
25.10.77 08:25:00;"Запуск космического аппарата Целина-ОМ (""Космос-960"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
21.10.77 13:05:00;"Запуск космического аппарата Тюльпан (""Космос-959"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
24.09.77 19:30:00;"Запуск космического аппарата АУОС-З-Р-Э-ИК (""Интеркосмос-17"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
24.09.77 13:15:00;"Запуск космического аппарата ЭПН 03.380 (""Космос-956"")";Плесецк  ;СК 132/1 (РН Космос)  ;Циклон-3  ;Успешный 
20.09.77 04:01:00;"Запуск космического аппарата Целина-Д (""Космос-955"")";Плесецк  ; ;Восток-2М  ;Успешный 
22.07.77 13:00:00;"Запуск космического аппарата Тайфун-1 (""Космос-933"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
07.07.77 10:25:00;"Запуск космического аппарата Целина-Д (""Космос-925"")";Плесецк  ; ;Восток-2М  ;Успешный 
05.07.77 01:20:00;"Запуск космического аппарата Целина-ОК (""Космос-924"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
24.06.77 13:30:00;"Запуск космического аппарата ЭПН 03.380 (""Космос-921"")";Плесецк  ;СК 132/1 (РН Космос)  ;Циклон-3  ;Успешный 
18.06.77 13:30:00;"Запуск космического аппарата ДС-П1-И (""Космос-919"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
31.05.77 10:30:00;"Запуск космического аппарата Тайфун-2 (""Космос-913"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
19.05.77 19:30:00;"Запуск космического аппарата Тюльпан (""Космос-909"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
05.04.77 13:30:00;"Запуск космического аппарата ДС-П1-И (""Космос-901"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
30.03.77 02:00:00;"Запуск космического аппарата АУОС-З-Р-О (""Космос-900"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
25.03.77 01:11:00;"Запуск космического аппарата Целина-ОМ (""Космос-899"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
03.03.77 13:30:00;"Запуск космического аппарата Тайфун-1 (""Космос-896"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
27.02.77 00:18:00;"Запуск космического аппарата Целина-Д (""Космос-895"")";Плесецк  ; ;Восток-2М  ;Успешный 
02.02.77 15:30:00;"Запуск космического аппарата Тайфун-1 (""Космос-891"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
17.12.76 15:00:00;"Запуск космического аппарата Тайфун-2 (""Космос-885"")";Капустин Яр  ;СК РН Космос  ;Космос-3М  ;Успешный 
09.12.76 23:00:00;"Запуск космического аппарата Тюльпан (""Космос-880"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
02.12.76 03:17:00;"Запуск космического аппарата Целина-ОМ (""Космос-870"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
27.08.76 17:35:00;"Запуск космического аппарата Целина-Д (""Космос-851"")";Плесецк  ; ;Восток-2М  ;Успешный 
26.08.76 14:00:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-850"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
18.08.76 12:30:00;"Запуск космического аппарата ДС-П1-И (""Космос-849"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
27.07.76 15:00:00;"Запуск космического аппарата ДС-У3-ИК-5 (""Интеркосмос-16"")";Капустин Яр  ;СК РН Космос  ;Космос-3М  ;Успешный 
27.07.76 08:21:00;"Запуск космического аппарата Целина-ОМ (""Космос-845"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
09.07.76 00:08:00;"Запуск космического аппарата Тюльпан (""Космос-839"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
19.06.76 19:00:00;"Запуск космического аппарата АУОС-З-Т-ИК (""Интеркосмос-15"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
28.05.76 18:00:00;"Запуск космического аппарата Тайфун-1 (""Космос-822"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
18.05.76 14:00:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-818"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
28.04.76 16:30:00;"Запуск космического аппарата Тайфун-2 (""Космос-816"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
06.04.76 07:14:00;"Запуск космического аппарата Целина-ОМ (""Космос-812"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
16.03.76 20:22:00;"Запуск космического аппарата Целина-Д (""Космос-808"")";Плесецк  ; ;Восток-2М  ;Успешный 
12.03.76 16:30:00;"Запуск космического аппарата Тайфун-1 (""Космос-752"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
12.02.76 16:00:00;"Запуск космического аппарата Тюльпан (""Космос-803"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
05.02.76 17:30:00;"Запуск космического аппарата ДС-П1-И (""Космос-801"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
23.01.76 01:26:00;"Запуск космического аппарата Целина-ОМ (""Космос-790"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
06.01.76 07:52:00;"Запуск космического аппарата Целина-ОМ (""Космос-787"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
11.12.75 20:00:00;"Запуск космического аппарата ДС-У2-ИК-6 (""Интеркосмос-14"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
21.11.75 20:11:00;"Запуск космического аппарата Целина-ОК (""Космос-781"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
22.08.75 05:11:00;"Запуск космического аппарата Целина-Д (""Космос-756"")";Плесецк  ; ;Восток-2М  ;Успешный 
14.08.75 16:29:00;"Запуск космического аппарата Целина-Д (""Космос-755"")";Плесецк  ; ;Восток-2М  ;Успешный 
24.07.75 22:00:00;"Запуск космического аппарата Тайфун-1 (""Космос-752"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
17.07.75 12:10:00;"Запуск космического аппарата ДС-П1-И (""Космос-750"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
04.07.75 03:56:00;"Запуск космического аппарата Целина-ОМ (""Космос-749"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
24.06.75 15:05:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-745"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
20.06.75 09:54:00;"Запуск космического аппарата Целина-Д (""Космос-744"")";Плесецк  ; ;Восток-2М  ;Успешный 
08.04.75 21:29:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-725"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
12.03.75 11:55:00;"Запуск космического аппарата ДС-У2-ИК-5 (""Интеркосмос-13"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
05.02.75 16:15:00;"Запуск космического аппарата Целина-ОМ (""Космос-707"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
28.01.75 15:05:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-705"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
21.01.75 14:04:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-703"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
18.12.74 17:12:00;"Запуск космического аппарата Целина-ОМ (""Космос-698"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
20.11.74 14:59:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-695"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
31.10.74 13:00:00;"Запуск космического аппарата ДС-У2-ИК-4 (""Интеркосмос-12"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
11.10.74 14:30:00;"Запуск космического аппарата Тайфун-1 (""Космос-687"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
26.09.74 19:34:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-686"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
16.08.74 06:41:00;"Запуск космического аппарата Целина-Д (""Космос-673"")";Плесецк  ; ;Восток-2М  ;Успешный 
25.07.74 15:00:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-668"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
26.06.74 15:30:00;"Запуск космического аппарата ДС-П1-И (""Космос-662"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
21.06.74 12:03:00;"Запуск космического аппарата Целина-ОМ (""Космос-661"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
18.06.74 16:00:00;"Запуск космического аппарата Тайфун-1 (""Космос-660"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
21.05.74 09:16:00;"Запуск космического аппарата Целина-ОМ (""Космос-655"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
17.05.74 14:00:00;"Запуск космического аппарата ДС-У3-ИК-4 (""Интеркосмос-11"")";Капустин Яр  ;СК РН Космос  ;Космос-3М  ;Успешный 
05.03.74 19:05:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-634"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
27.02.74 14:05:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-633"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
06.02.74 03:34:00;"Запуск космического аппарата Целина-ОМ (""Космос-631"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
27.12.73 23:19:00;"Запуск космического аппарата ДС-У2-ГКА (""Ореол-2"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
13.12.73 14:10:00;"Запуск космического аппарата ДС-П1-И (""Космос-615"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
28.11.73 12:29:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-611"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
27.11.73 03:08:00;"Запуск космического аппарата Целина-ОМ (""Космос-610"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
20.11.73 15:29:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-608"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
30.10.73 22:00:00;"Запуск космического аппарата ДС-У2-ИК-3 (""Интеркосмос-10"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
29.10.73 17:00:00;"Запуск космического аппарата Целина-Д (""Космос-604"")";Плесецк  ; ;Восток-2М  ;Успешный 
16.10.73 17:00:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-601"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
28.08.73 13:08:00;"Запуск космического аппарата Целина-ОМ (""Космос-582"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
22.08.73 14:24:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-580"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
05.06.73 14:29:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-562"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
17.05.73 16:19:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-558"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
19.04.73 13:19:00;"Запуск космического аппарата ДС-У2-ИК-8 (""Интеркосмос-9"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
12.04.73 14:49:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-553"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
26.02.73 07:37:00;"Запуск космического аппарата Целина-ОМ (""Космос-549"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
24.01.73 14:44:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-545"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
20.01.73 06:36:00;"Запуск космического аппарата Целина-ОМ (""Космос-544"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
