Субъект РФ;Наименование организации;Рег. № в Реестре;Дата приказа ФСТ России;Номер приказа ФСТ России
Республика Адыгея;"ОАО ""Кубанская энергосбытовая компания""";01/02  (ранее - 23/01);22.01.2007  (17.03.2009)  (30.06.2009);9-э (50-э) (247-э)
Республика Алтай;"ОАО ""Алтайэнергосбыт"" (Горно-Алтайское отделение филиала ""Энергосбыт"")";02/05  (ранее - 22/01);04.07.2007  (30.06.2009);148-э (247-э)
Республика Алтай;"МУП ""Энергия""";02/01;20.08.2007;203-э
Республика Алтай;"ОАО ""Джазаторская ГЭС""";02/02;19.12.2007;339-э
Республика Алтай;"МУП ""Тон-Тыт""";02/03;21.03.2008;72-э
Республика Алтай;Сельская администрация Челушманского сельского поселения Улаганского района;02/04;21.03.2008;72-э
Республика Башкортостан;"ОАО ""Башкирэнерго""";03/01;09.02.2007;16-э
Республика Бурятия;"ОАО ""Бурятэнергосбыт""";04/01;22.01.2007;9-э
Республика Бурятия;"ООО ""Энергосервис"" (ранее - МУП ""Жилкомсервис"" - 04/02)";04/03;07.05.2008;159-э
Республика Дагестан;"ОАО ""Дагестанская энергосбытовая компания""";05/01;09.02.2007;16-э
Республика Ингушетия;"ОАО ""Ингушэнерго""";06/01;03.04.2007;47-э
Кабардино-Балкарская Республика;"ОАО ""Каббалкэнерго""";07/01;12.02.2007;17-э
Республика Калмыкия;"ОАО ""Калмэнергосбыт""";08/01;22.01.2007;9-э
Республика Калмыкия;"ОАО ""ГорЭлектроСбыт"" (ранее - МУП ""ГорЭлектроСбыт"" - 08/02)";08/03;09.02.2007;16-э
Карачаево-Черкесская Республика;"ОАО ""Карачаево-Черкесскэнерго""";09/01;12.02.2007;17-э
Карачаево-Черкесская Республика;"ОАО ""Черкесские городские электрические сети""";09/02;12.02.2007;17-э
Республика Карелия;"ОАО ""Карельская энергосбытовая компания""";10/01;09.02.2007;16-э
Республика Карелия;"ООО ""Энергокомфорт"". Единая Карельская сбытовая компания""";10/02;03.04.2007;47-э
Республика Карелия;"ООО ""Русэнергосбыт""";10/09  (ранее - 77/03);12.02.2007;17-э (84-э) (247-э)
Республика Карелия;"ОАО ""Прионежская сетевая компания"" (ранее - Кондопожское муниципальное МП ЖКХ -10/05) (+10/03,10/06) ";10/08;25.08.2008  (24.12.2009);319-э (472-э)
Республика Карелия;"ООО ""Боровские коммунальные системы"" (ранее - ООО ""Ухтуаэлектро"" - 10/07 (ранее - МУП ""Ухтинские электрические сети"" - 10/04))";10/10;24.12.2009;472-э
Республика Коми;"ОАО ""Коми энергосбытовая компания""";11/01;17.01.2007;7-э
Республика Марий Эл;"ОАО ""Мариэнергосбыт""";12/01;03.04.2007;47-э
Республика Марий Эл;"ООО ""Русэнергосбыт""";12/02 (ранее - 77/03);12.02.2007;17-э (84-э)  (247-э)
Республика Мордовия;"ОАО ""Мордовская энергосбытовая компания"" ";13/01;29.12.2006;252-э
Республика Мордовия;"ООО ""Электросбытовая компания ""ВАТТ - Электросбыт"" ";13/02;29.12.2006;252-э
Республика Мордовия;"ООО ""Русэнергосбыт""";13/03  (ранее - 77/03);12.02.2007;17-э (84-э)  (247-э)
Республика Саха (Якутия);"ОАО АК ""Якутскэнерго""";14/01;31.01.2008;19-э
Республика Саха (Якутия);"ОАО ""Сахаэнерго"" ";14/02;31.01.2008;19-э
Республика Саха (Якутия);"ОАО ""Магаданэнерго""";14/09  (ранее - 49/01);12.02.2007;17-э  (247-э)
Республика Саха (Якутия);"ОАО ""Якутгазпром""";14/03;31.01.2008;19-э
Республика Саха (Якутия);"Акционерная компания ""АЛРОСА"" (закрытое акционерное общество)";14/04;31.01.2008;19-э
Республика Саха (Якутия);"ОАО ""Ленское объединенное речное пароходство""";14/05;31.01.2008;19-э
Республика Саха (Якутия);"ФГУ ""Ленское государственное бассейновое управление водных путей и судоходства""";14/06;31.01.2008;19-э
Республика Саха (Якутия);"МУП ""ЖКХ п. Витим""";14/07;31.01.2008;19-э
Республика Саха (Якутия);"МУП ""ЖКХ п. Ярославский""";14/08;31.01.2008;19-э
Республика Северная Осетия-Алания;"ОАО ""Севкавказэнерго""";15/01;22.01.2007;9-э
Республика Татарстан (Татарстан);"ОАО ""Татэнергосбыт"" (ранее - ОАО ""Татэнерго"" - 16/01)";16/02;16.04.2009;86-э
Республика Тыва;"ОАО ""Тываэнергосбыт""";17/01;26.07.2007;189-э
Республика Тыва;"ГУП ""Тываэнергоремонт""";17/02;26.07.2007;189-э
Республика Тыва;МУП Тоджинская ДЭС;17/03;26.07.2007;189-э
Республика Тыва;"МУП ДЭС ""Качык""";17/04;26.07.2007;189-э
Республика Тыва;МУП ЖКХ Тере-Хольского кожууна;17/05;26.07.2007;189-э
Удмуртская Республика;"ОАО ""Удмуртская энергосбытовая компания""";18/01;22.01.2007 (17.07.2009);9-э  (270-э) 
Республика Хакасия;"ОАО ""Хакасэнергосбыт""";19/01;09.02.2007;16-э
Республика Хакасия;"ООО ""Абаканэнергосбыт"" ";19/02;09.02.2007;16-э
Республика Хакасия;"ООО ""Русэнергосбыт""";19/03  (ранее - 77/03);12.02.2007;17-э (84-э)  (247-э)
Чеченская Республика;"ОАО ""Нурэнерго""";20/01;09.02.2007;16-э
Чувашская Республика;"ОАО ""Чувашская энергосбытовая компания""";21/01;09.02.2007;16-э
Алтайский край;"ОАО ""Алтайэнергосбыт""";22/01;04.07.2007;148-э
Алтайский край;"ОАО ""Барнаульская горэлектросеть""";22/02;04.07.2007;148-э
Алтайский край;"Краевое государственное унитарное предприятие коммунальных электрических сетей  ""Алтайкрайэнерго"" ";22/03;04.07.2007;148-э
Алтайский край;"ООО ""Заринская городская электрическая сеть""  (ранее - МУП ""Заринская горэлектросеть"" - 22/04)";22/05;27.10.2008;375-э
Краснодарский край;"ОАО ""Кубанская энергосбытовая компания""";23/01;22.01.2007  (17.03.2009);9-э  (50-э)
Краснодарский край;"ОАО ""Независимая энергосбытовая компания Краснодарского края""";23/02;22.01.2007;9-э
Красноярский край;"ОАО ""Красноярскэнергосбыт""  ";24/01;24.09.2007;220-э
Красноярский край;ГУП учреждения УП-288/2 ГУИН Минюста России по Красноярскому краю ;24/02;24.09.2007;220-э
Красноярский край;"ООО ""Ярцевская лесопромышленная компания""";24/03;24.09.2007;220-э
Красноярский край;"ОАО ""Северное""";24/04;24.09.2007;220-э
Красноярский край;Кодинское МУП ЖКХ Кежемского района ;24/05;24.09.2007;220-э
Красноярский край;"СПК ""Родина""";24/06;24.09.2007;220-э
Красноярский край;"ФГУП ""Авиапредприятие ""Черемшанка"" ";24/07;24.09.2007;220-э
Красноярский край;"Туруханское МУП ""Туруханскэнерго""";24/08;24.09.2007;220-э
Красноярский край;"ООО ""Русэнергосбыт"" ";24/09  (ранее - 77/03);12.02.2007;17-э (84-э)  (247-э)
Приморский край;"ОАО ""Дальневосточная энергетическая компания""";25/08 (ранее - 27/36);04.07.2007 (29.01.2009)  (30.06.2009)  (24.12.2009);149-э  (14-э)  (247-э) (470-э)
Приморский край;"ОАО ""Дальнегорская электросеть"" ";25/02;04.07.2007;148-э
Приморский край;"ОАО ""Электросеть"" ";25/03;04.07.2007;148-э
Приморский край;"ООО ""Энергосбыт""";25/04;04.07.2007;148-э
Приморский край;"ОАО ""Электросервис"" (г. Дальнереченск)";25/06;31.01.2008;19-э
Приморский край;"ОАО ""Электросервис"" г. Лесозаводск";25/07;31.01.2008;19-э
Приморский край;"Муниципальное унитарное предприятие города Владивостока ""Владивостокское предприятие электрических сетей""";25/09;24.12.2009;470-э
Приморский край;"ООО ""Коммунальная ремонтно-эксплуатационная компания""";25/10;24.12.2009;470-э
Приморский край;"ООО ""Красноармейские электрические сети""";25/11;24.12.2009;470-э
Приморский край;"ООО Управляющая компания ""ДальТехникЦентр""";25/12;24.12.2009;470-э
Приморский край;"МУП ""ДЭС-Глазковка""";25/13;24.12.2009;470-э
Приморский край;"ООО ""Жилищно-коммунальное хозяйство""";25/14;24.12.2009;470-э
Приморский край;"ООО ""ТТП НЛХ Бикин""";25/15;24.12.2009;470-э
Приморский край;"ООО ""Траст""";25/16;24.12.2009;470-э
Приморский край;"КГУП ""Примтеплоэнерго""";25/17;24.12.2009;470-э
Приморский край;"ООО ""Локальная энергетическая компания - Восток""";25/18;24.12.2009;470-э
Приморский край;"МКП ""Энергетик""";25/19;24.12.2009;470-э
Приморский край;"ОАО ""13 Электрическая сеть"" (ранее - ФГУП ""13 электрическая сеть Военно-Морского Флота"" Министерства обороны Российской Федерации - 25/05)";25/20;30.12.2009;486-э
Ставропольский край;"ОАО ""Ставропольэнергосбыт"" (+ 26/09) (+26/11)";26/01;09.02.2007  (02.12.2009);16-э  (430-э)
Ставропольский край;"ГУП СК ""Ставрополькоммунэлектро"" ";26/02;03.04.2007 (21.05.2007);47-э (105-э)
Ставропольский край;"МУП г. Буденновска ""Горэлектросеть"" ";26/03;03.04.2007;47-э
Ставропольский край;МУП городских электрических сетей г. Невинномысска;26/04;03.04.2007;47-э
