Управление;Реестровый номер;Номер сертификата соответствия аэропорта;Наименование юридического лица;Наименование аэропорта
Камчатское;030.ДВ;ФАВТ ДВ.А.00030   11.05.10-11.05.13;ООО АК «Камчатские авиалинии;Эссо
Камчатское;003.КЧ;ФАВТ КЧ.А.00003   15.05.09-12.05.12;МУП Усть-Хайрюзовский аэропорт «Чайка»;Усть-Хайрюзово
Камчатское;012.КЧ;ФАВТ КЧ.А.00012   02.10.09-02.10.12;ФГУ Петропавловск-Камчатское авиапредприятие;Мильково
Камчатское;013.КЧ;ФАВТ КЧ.А.00013   02.10.09-02.10.12;ФГУ Петропавловск-Камчатское авиапредприятие;Никольское
Камчатское;014.КЧ;ФАВТ КЧ.А.00014   02.10.09-02.10.12;ФГУ Петропавловск-Камчатское авиапредприятие;Озерная
Камчатское;015.КЧ;ФАВТ КЧ.А.00015   02.10.09-02.10.12;ФГУ Петропавловск-Камчатское авиапредприятие;Соболево
Камчатское;016.КЧ;ФАВТ КЧ.А.00016   02.10.09-02.10.12;ФГУ Петропавловск-Камчатское авиапредприятие;Усть-Камчатск
Коми;10.КМ;ФАВТ КМ.А.00003;ФГУП «Комиавиатранс»;Ухта
Коми;11.КМ;ФАВТ КМ.А.00010;ФГУП «Комиавиатранс»;Печора
Коми;12.КМ;ФАВТ КМ.А.00009;ФГУП «Комиавиатранс»;Усинск
Коми;13.КМ;ФАВТ КМ.А.00024;ФГУП «Комиавиатранс»;Усть-Цильма
Красноярское;1.КР;ФАВТ СБ.А.00324   до 27.11.11г.;ГП КК «Крас Авиа»;Байкит
Красноярское;2.КР;ФАВТ СБ.А.00326   до 27.11.11г.;ГП КК «Крас Авиа»;Тура-МВЛ
Красноярское;4.КР;ФАВТ КР.А.00023   до 25.05.12;ООО «Аэропорт Ачинск»;Ачинск
Красноярское;5.КР;ФАВТ СБ.А.00080   до 14.01.13г.;ФГУП «Авиапредприятие   Черемшанка»;Черемшанка
Красноярское;6.КР;ФАВТ СБ.А.00049   до 26.09.10г.;ОАО «Авиакомпания Таймыр»;Валек
Красноярское;7.КР;ФАВТ СБ.А.00050   до 26.09.10г.;ОАО «Авиакомпания Таймыр»;Дудинка
Красноярское;8.КР;ФАВТ СБ.А.00325   до 27.11.11г.;ГП КК «Крас Авиа»;Тура-Горный
Красноярское;10.КР;ФАВТ КР.А.00025   до 16.06.12;ГП КК «Крас Авиа»;Ванавара
Красноярское;11.КР;ФАВТ КР.А.00026   до 19.06.12;ФГУП «Авиапредприятие Черемшанка»;Северо-Енисейск
Красноярское;12.КР;ФАВТ КР.А.00040   до 03.09.12;ФГУП «Туруханское авиапредприятие»;Туруханск
Красноярское;13.КР;ФАВТ КР.А.00066   до 30.11.12;ФГУП «Авиапредприятие Черемшанка»;Мотыгино
Красноярское;14.КР;ФАВТ КР.А.00067   до 03.11.12;ФГУП «Авиапредприятие Черемшанка»;Богучаны
Красноярское;15.КР;ФАВТ КР.А.00073   до 09.12.12;ФГУП «Туруханское авиапредприятие»;Подкаменная Тунгуска
Красноярское;16.КР;ФАВТ КР.А.00088   до 03.01.11;МП «Ярцевские авиационные перевозки»;Ярцево
Красноярское;17.КР;ФАВТ КР.А.00089   до 29.01.13;ГП КК «КрасАвиа»;Енисейск
Красноярское;18.КР;ФАВТ КР.А.00102   до 05.05.13;ФГУП «Авиапредприятие Черемшанка»;Кодинск
Приволжское;1.ПР;ФАВТ ПР.А.00021   12.04.2010г.-12.04.2013г.;ОАО «Кировское авиапредприятие»;Киров
Приволжское;2.ПР;ФАВТ ПР.А.00022   22.04.2010г.-22.04.2013г.;ОАО «Авиалинии Мордовии»;Саранск
Приволжское;3.ПР;ФАВТ ПР.А.00030   01.06.2010г.-01.06.2013г.;ОАО «Ижавиа»;Ижевск
Саха;    10.СХ;ФАВТ СХ.А.00010        До 04.05.2012;АК «АЛРОСА» (ЗАО) Мирнинское авиапредприятие;Айхал
Саха;1.СХ;ФАВТ ДВ.А.00477      До 01.10.2011;ФКП «Аэропорты Севера»;Алдан
Саха;    11.СХ;ФАВТ ДВ.А.00474       До 09.09.2011;ФКП «Аэропорты Севера»»;Батагай
Саха;    13.СХ;ФАВТ СХ.А.00009       До 29.04.2012;ФКП «Аэропорты Севера»;Белая Гора
Саха;    12.СХ;ФАВТ СХ.А.00007      До 29.04.2012;ФКП «Аэропорты Севера»;Верхневилюйск
Саха;    2.СХ;ФАВТ СХ.А.00006      До 29.04.2012;ФКП «Аэропорты Севера»;Вилюйск
Саха;    31.СХ;ФАВТ ДВ.А.00475       До 16.09.2011;АК «АЛРОСА» (ЗАО) Мирнинское авиапредприятие;Витим
Саха;    21.СХ;ФАВТ СХ.А.00003       До 06.03.2012;ФКП «Аэропорты Севера»;Депутатский
