Номер сертификата;Название;Полное название;Юридический адрес;Аэропорты базирования;Контролирующее МТУ;Типы ВС
408;Аэросервис (Даг.);"ООО Авиакомпания ""Аэросервис""";367003, Махачкала,Р.Дагестан ,ул.Ушакова,2;Махачкала;Южное МТУ;Ан-2
204;АЭРОСТАРЗ;"ООО ""Авиакомпания ""АЭРОСТАРЗ""";"142021 Московская обл.,Домод.р-н, станция ""Космос""";Домодедово;МТУ Центр.район;"BAe125; Ил-62М; Ил-76; ИЛ-96; ТУ-214"
1;Аэрофлот ОАО;"ОАО ""Аэрофлот - российские авиалинии""";119002 Москва, ул. Арбат, д.10;Шереметьево, Магадан-Сокол Сочи, Пулково;ФАВТ;"A-319; A-320; Ил-96; Ту-154М; A-321;  B-767; A-330; A-320; MD-11F"
237;Балтийские авиалинии;"ЗАО ""Авиакомпания ""Балтийские авиалинии""";188450 Ленинградская обл., г.Кингисепп;Пулково;Сев.-Зап. МТУ;Ми-8
126;БАРКОЛ;"ООО Авиакомпания ""БАРКОЛ""";121315 Москва, ул. Ярцевская,д.8, подъезд 2;Быково;МТУ Центр.район;"Ан-2; :Ми-2; Ми-8; Як-40; R-44; ВК117С-2; AS-350В2; Ми-172;"
490;Башкортостан;"ООО ""Авиакомпания ""Башкортостан""";450501 Р.Башкортостан,Уфимс кий р-н,с.Булгаково,Аэр;Уфа, Домодедово;Приволжск. МТУ;B-757
218;Бурал;"ОАО ""Авиакомпания Бурятские авиалинии""";670018 Р.Бурятия, г.Улан-Удэ, п. Аэропорт, д.10;Улан-Удэ-Мухино;Вост.-Сиб. МТУ;"Ан-2;Ан-24; Ми-8"
129;Былина;"ЗАО Авиакомпания ""БЫЛИНА""";140150 М.О.,Раменский р.,п.Быково,ул.Совет ская,19;Внуково;МТУ Центр.район;Як-40
524;Вельталь-Авиа;"ООО ""Вельталь-Авиа""";644122, г.Омск, ул.Красный путь, д.34;Омск;Зап.-Сиб. МТУ;Ми-8
79;Вертикаль-Т;"ООО Авиакомпания ""ВЕРТИКАЛЬ-Т""";170007 Тверск.обл,п.Василье вский мох,ул.Ленина,1;Тверь(Змеево);МТУ Центр.район;"Ми-26; Ми-8; Ми-171"
537;Взлет;"ЗАО""Научно-производственное объединение ""Взлет""";119619 Москва, ул.Производ-ственная, д.6;Солнцево;МТУ Центр.район;Ми-8
451;ВИМ-АВИА;"ООО ""Авиакомпания ""ВИМ-АВИА""";127238 г.Москва, Дмитровское шоссе, д.46, корп.1;Домодедово;МТУ Центр.район;B-757
37;Вираж;"ООО ""ВИРАЖ""";347880 Ростовская обл., г.Гуково,ул. Милицейская,8;Ейск;Южное МТУ;Ан-2
536;ВИТЯЗЬ-АЭРО;ООО «ВИТЯЗЬ-АЭРО»;Россия, 684000, Камчатский Край, г. Елизово, ул. Сопочная д. 13;Петропавловск-Камчатский;Камчатское МТУ;Ми-8Т
190;Владивосток Авиа;"ОАО ""Владивосток Авиа""";692756 Артем,Приморский край,ул.Портовая,д.4 1;Владивосток;Дальневост.МТУ;"A-320; Ту-204; Ка-32; Ми-8;  Ту-154М; Як-40; A-320"
528;ГУО «Владимирская база авиационной охраны лесов».;Госучреждение Владимирской области «Владимирская база авиационной охраны лесов».;600001 Россия, г.Владимир, аэропорт;Владимир;МТУ ВТ Центральных районов;Ан-2
104;Волга-Авиаэксп- ресс;"ООО АВИАКОМ- ПАНИЯ ""Волга-Авиаэкспресс""";404170 Волгоград.о.,р.п.Све тлыйЯр,ул.Комсомол-я 4;Волгоград;Южное МТУ;"Ту-134; Як-42  Действие СЭ приостановлено"
21;ВОЛГА-ДНЕПР;"ООО ""Авиакомпания ВОЛГА-ДНЕПР""";432072 г.Ульяновск, ул.Карбышева, 14;Ульяновск-Вост, Ульяновск-Барат;ФАВТ;"Ан-124; Ил-76;"
195;Вологодское АП;"OAO ""Вологодское авиационное предприятие""";160015 Россия, г.Вологда, аэропорт;Вологда;Сев.-Зап. МТУ;"Ми-2;Ми-8; Як-40"
266;Восток;"ОАО ""Авиационная компания ""Восток""";680031 Хабаровск, аэропорт Местных возд.линий;Хабаровск;Дальневост.МТУ;"Ан-28; Ан-38; Ми-8"
254;Выборг;"ООО""Северо-Западная авиац.транспортная компания ""Выборг""";188902, Ленинград. обл.,Выборгский р-н, п/о Вещево;Пулково;Сев.-Зап. МТУ;Ил-114
