Номер сертификата;Название;Полное название;Юридический адрес;Аэропорты базирования;Контролирующее МТУ;Типы ВС
502;СкайТест;"ЗАО ""Авиакомпания ""СкайТест""";124575,Москва,Зелено град,корп.904,н.п.IV ,к 1-6,6а;Быково;МТУ Центр.район;Ан-26
228;СКОЛ;"ООО ""Авиакомпания ""СКОЛ""";628400Сургут,Ханты-М .АО,Тюмен.обл.проезд Мунарева4;Черемшанка;Красноярск. МТУ;"Ми-26; Ми-8; Як-40; Ми-171; AS-350В3"
530;СЛО Россия;Федеральное Государственное бюджетное учреждение «Специальный летный отряд «Россия» Управления Делами Президента РФ;119027, Москва, ул. 1-я Рейсовая, д.2;Внуково;ФАВТ;"Ил-62М; Ту-134А; Falcon 7X"
521;Смоленскаэротранс;"ЗАО ""Смоленскаэротранс""";214032,г.Смоленск, ул.Лавочкина, 104;Смоленск;МТУ Центр.район;"Ан-2;  Ми-2"
284;Сокол (Краснодар);"ЗАО Авиакомпания ""Сокол""";350015 Россия, г.Краснодар, ул.Коммунаров, 155;Новотитаровская;Южное МТУ;"Ми-2; Ми-8"
73;СПАРК+;"ЗАО ""Авиакомпания ""СПАРК+""";196210 Санкт-Петербург, ул.Пилотов,12;Пулково;Сев.-Зап. МТУ;"Ми-172; Ми-8; AS-350"
452;Таймыр;"ОАО ""Авиакомпания ""Таймыр""";647000 Красноярский кр., г.Дудинка, ул.Северная 1;Валек, Дудинка, Чита;Красноярск. МТУ;"Ан-2; Ми-8"
487;ТАНТК им.Г.М.Бериева;"ОАО ""Таганрог. авиационный научно-тех.комплекс им.Г.М.Бериева";347923 Ростовская обл.,г.Таганрог, пл.Авиаторов, 1;Таганрог-Южный, Ростов-на-Дону;Южное МТУ;Бе-103
40;ТАТАРСТАН;"ОАО ""Авиакомпания ""Татарстан""";420017 Казань, Республика Татарстан, аэропорт;Казань, Домодедово;Татарское МТУ;"Ил-86; B-737; 154М; Як-42; BD-100-1A10 (CL 300) CL-604"
494;Томск Авиа;"ООО ""Авиакомпания ""Томск Авиа""";634539 Томская обл., Томский р-н, п.Аэропорт;Томск, Колпашево, Стрежевой;Зап.-Сиб. МТУ;"Ан-24; Ан-26; Ми-8"
51;ТРАНСАЭРО;"ОАО ""Авиационная компания ""ТРАНСАЭРО""";191104,С.Петербург,Л итейный пр.,48,Литер А;Домодедово;ФАВТ;"B-767; B-777; B-747; Ту-214 B-737; B-767;"
359;Тулпар Эйр;"ООО ""Авиакомпания ""Тулпар Эйр""";422730 Р.Татарстан, Высокогорский р-н., ст.Куркачи;Казань;Татарское МТУ;"Ми-2; Ми-8; Як-40; Як-42"
90;ТУРУХАН;"ООО Авиакомпания ""Турухан""";663231, Туруханск, Красноярский кр.,ул.Портовая 1;Туруханск;Красноярск. МТУ;Ми-8
144;Ульяновское ВАУ ГА;"ФГОУ ВПО ""Ульяновское высшее  авиац.училище ГА(институт)""";432071 Ульяновск, ул. Можайского, 8/8;Ульяновск-Барат;Приволжск. МТУ;"Ту-154Б; Ту-154М; Як-40"
462;Урайавиа;"Открытое акционерное общество ""Урайавиа""";628284 Тюменская обл.Х-Манс АО,г.Урай а/п;Урай;Приобское МТУ;Ми-8
18;Уральские авиалинии;"ОАО Авиакомпания ""Уральские авиалинии""";620910, Свердловская.о.Екате ринбург,ул.Спутников ,6;Кольцово;Уральское МТУ;"Ан-24; А-320; Ил-86 Ту-154Б; Ту-154М;  A-321"
229;Уфимские Авиалинии;"ЗАО Авиационная компания ""Уфимские авиационные линии""";450001 Уфа, Р. Башкортостан, ул. Кировоградская,42;Уфа;Приволжск. МТУ;"Ан-2; Ка-26; R-44; ВК-117С-1"
459;Хабаровские АЛ;"Краевое  гос. унитарное предприятие ""Хабаровские авиалинии""";682460 Хабаровский кр., г.Николаевск-на-Амур е, а/п;Николаевск, Хабаровск (Новый);Дальневост.МТУ;"Ан-24; Ан-26; Ми-8; Як-40; Ан-12"
169;ЦЕНТР-ЮГ;"ООО ""Авиакомпания ""ЦЕНТР-ЮГ""";306120Белг.о.Яковлев скийРн,п.Строитель,П рирельсовы;Белгород;МТУ Центр.район;"Ту-134; Як-40"
108;ЧукотАВИА;"ФГУП ""ЧукотАВИА""";689503 Чукотский АО,п.Угольные Копи ул.Портовая, 6;Анадырь-Угольн.;Сев.-Вост. МТУ;"Ан-24; Ан-26; Ми-8; Ан-3"
208;ШАР инк ЛТД;"ООО""Производств. многоотраслевая авиакомпания""Шар инк ЛТД.""";117342 Москва, ул.Бутлерова, д.40;Остафьево;МТУ Центр.район;Ан-74
501;ЭйрБриджКарго;"ООО ""Авиакомпания ЭйрБриджКарго""";119048 г.Москва, ул.Усачева, д.35А;Шереметьево-2;МТУ Центр.район;B-747
506;Юг-Лайн;"ООО Авиакомпания ""Юг-Лайн""";353681,г.Ейск, ул.К.Либкнехта, 206, аэропорт;Ейск;Южное МТУ;Ан-2
53;ЮТэйр-Карго;"ЗАО ""ЮТэйр-Карго""";626020,Тюменская обл, с.Нижняя Тавда, ул.Кирова 26;Рощино;Приобское МТУ;"Ан-2; Ан-26; Ан-74;"
504;ЮТэйр-Экспресс;"ООО ""ЮТэйр-Экспресс""";167982 Р.Коми, г.Сыктывкар, ул. Первомай-ская 70;Сыктывкар, Уфа, Сургут;Коми МТУ;"Ан-24; Ан-26; Ту-134; L-410UVP-E20"
ЮТэйр;"ОАО ""Авиакомпания ""ЮТэйр""";628012Тюменская обл.,Х.-М.АО,г.Ханты -Мансийск,а/п;Березово, Внуково, Тазовский, Рощино, Плеханово, Ноябрьск (Ясный) , Сургут, Сыктывкар, Ханты-Мансийск;Приобское МТУ;"Ан-2; ATR-42; BO-105; Ми-10; Ми-26; Ми-8; AS-355N; Ту-134; B-737; Ту-154М; Як-40; Ми-171; ATR-72; GulfstV-SP; CL-600-2B19(CRJ-200); В-757";6
241;ЯК-СЕРВИС;"ЗАО ""Авиационная компания ""ЯК СЕРВИС""";125009 Москва, ул.Тверская,д.10,стр .1;Внуково, Быково;МТУ Центр.район;"Як-40; Як-42"
464;Якутия;"ОАО  Авиакомпания ""Якутия""";677014, Якутск, ул.Быковского, д.9;Якутск, Внуково, Пашковский;Саха(Якут.) МТУ;"Ан-24; B-757; Ан-26; Ан-140 Ту-154М"
142;Ямал;"ОАО ""Авиационная транспортная компания ""Ямал""";629004 Ямало-НенецАО г.Салехард, ул.Авиационная 27;Салехард, Рощино;Приобское МТУ;"Ан-24; Ми-8; EC-135T; Ту-134; B-737; Як-40; Ан-26"
Ямал;"ОАО ""Авиационная транспортная компания ""Ямал""";629004 Ямало-Ненецкий АО г.Салехард, ул.Авиационная 27;Салехард, Рощино;Приобское МТУ;"Ан-24; Ту-134; B-737; Як-40; Ан-26";1
