Фамилия;Имя;Отчество;День рождения;Выдвинувшая партия;Фракция и должность;Состоит в комитетах;Срок окончания полномочий;Адрес сайта
Семёнов;Владимир;Владиславович;20/04/1967;"""Либерально-демократическая партия России""";"Член фракции ""Либерально-демократическая партия России""";Член Комитета ГД по экономической политике и предпринимательству;02/12/2007;
Семёнова;Екатерина;Юрьевна;12/07/1972;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по собственности;02/12/2007;
Семенов;Павел;Владимирович;7/12/1976;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по делам Федерации и региональной политике;02/12/2007;
Сергеева;Гульнара;Ильдусовна;5/06/1960;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по делам Федерации и региональной политике;02/12/2007;http://www.sergeevagulnara.ru/
Серебров;Лев;Борисович;1/05/1939;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по делам ветеранов;02/12/2007;
Сибагатуллин;Фатих;Саубанович;1/05/1950;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по природным ресурсам, природопользованию и экологии;02/12/2007;
Симановский;Леонид;Яковлевич;19/07/1949;"""Единая Россия""";"Член фракции ""Единая Россия""";Первый заместитель председателя Комитета ГД по энергетике;02/12/2007;
Сихарулидзе;Антон;Тариэльевич;25/10/1976;"""Единая Россия""";"Член фракции ""Единая Россия""";Председатель Комитета ГД по физической культуре и спорту;02/12/2007;
Скоробогатько;Александр;Иванович;25/09/1967;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по гражданскому, уголовному, арбитражному и процессуальному законодательству;02/12/2007;
Скоч;Андрей;Владимирович;30/01/1966;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по промышленности;02/12/2007;
Слиска;Любовь;Константиновна;15/10/1953;"""Единая Россия""";"Заместитель руководителя фракции ""Единая Россия""";Заместитель Председателя ГД | Член Комитета ГД по безопасности | Член Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ;02/12/2007;
