Категория эмитента;Идентификатор;Имя;Организация-эмитент;Область использования
Удостоверяющие центры;1.2.643.3.11;"С=RU,o=REG3,o=Krasnodar branch of STC ""Atlas""   ----------------------------------------------------------------------------------- C 21.06.2010 C=RU,О=REG3,O=LJSC Orbita ;";"Филиал ФГУП НТЦ ""Атлас"" в Краснодарском крае C 21.06.2010 Закрытое акционерное общество «Орбита», 350063, г. Краснодар";Защита информации, обеспечение инфраструктуры открытых ключей(PKI), открытие центров регистрации
Удостоверяющие центры;1.2.643.3.12;"С=RU,o=REG3,o="" Atlas""Spb";Филиал Федерального государственного унитарного предприятия «Научно-технический центр «Атлас» в г. C анкт-Петербурге и Ленинградской области;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.13;"С=RU,o=REG3,o=""IT Company""";"ЗАО Фирма "" АйТи """;"Информационные технологии; защита информации; разработка программно-технических комплексов Автоматизированных систем аутентификации и авторизации пользователей; обеспечение инфраструктуры открытых ключей; разработка АРМ-ов на базе концепции защиты информации; защита программных средств от несанкционированного использования; разработка систем электронного документооборота с использованием ЭЦП"
Удостоверяющие центры;1.2.643.3.14;С=RU,o=REG3,o=RIPN;Учреждение Российский Научно - Исследовательский Институт Развития Общественных Сетей (некоммерческая организация);Поддержание ключевой инфраструктуры, в том числе и инфраструктуры открытых ключей (PKI), удостоверение и регистрация сертификатов ЭЦП
Удостоверяющие центры;1.2.643.3.15;С=RU,o=REG3,o=JSC Digital Signature;ЗАО «Цифровая подпись»;Информационные технологии, защита информации, обеспечение инфраструктуры открытых ключей, в том числе для корпоративных пользователей, открытие центров регистрации.
Удостоверяющие центры;1.2.643.3.16;"С=RU,o=REG3,o=""SCC of Minatom of Russia corporate certificate authority""";"ФГУП ""Ситуационно-Кризисный Центр Министерства Российской Федерации по атомной энергии"" (СКЦ Минатома России)";Информационные технологии, защита информации, обеспечение инфраструктуры открытых ключей корпоративной информационной системы, открытие центров регистрации
Удостоверяющие центры;1.2.643.3.17;С=RU,o=REG3,o=ERSCA;ООО “ Фест Фрейм Нетворкерс ”, г .М осква;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.18;"С=RU,o=REG3,o=Jsc ""ANK""";ЗАО «АНК», г .С анкт-Петербург;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.19;"С=RU,o=REG3,o=""UDC Sibiria TSUCSR""";Государственное образовательное учреждение высшего профессионального образования «Томский государственный университет систем управления и радиоэлектроники» (структурное подразделение Центр технологий безопасности – Удостоверяющий центр Сибири);Образовательная деятельность, научная деятельность, информационные технологии, защита информации, обеспечение инфраструктуры открытых ключей корпоративной информационной системы, открытие центров регистрации
Удостоверяющие центры;1.2.643.3.20;"С=RU,o=REG3,o=Ulyanovsk branch of STC ""Atlas""         C 13.04.2010 г . С=RU,o=REG3,o=Ulyanovsk branch of "" CenterInform ""  ";Филиал федерального государственного унитарного предприятия «Научно-технический центр «Атлас» в Ульяновской области   C 13.04.2010 г. Ульяновский филиал федерального государственного унитарного предприятия « ЦентрИнформ »;Защита информации, обеспечение инфраструктуры открытых ключей       Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.20.1;"С=RU,o=REG3,o=Ulyanovsk branch of STC ""Atlas"",o=KONTUR73";Филиал федерального государственного унитарного предприятия «Научно-технический центр «Атлас» в Ульяновской области;Идентификация сертификатов открытых ключей, допустимых для использования в системе «Контур-Экстерн»
Удостоверяющие центры;1.2.643.3.21;"С=RU,o=REG3,o=JSC ""Central Telegraph""";ОАО «Центральный телеграф»;Информационные технологии, защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.22;"С=RU,o=REG3,o="""" Taxcom "" Ltd.""";ООО « Такском »;Информационные технологии, защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.23;"С=RU,o=REG3,o=""BANK OF KHANTY-MANSIYSK JOINT STOK COMPANY""";ОАО ХАНТЫ-МАНСИЙСКИЙ БАНК;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.24;С=RU,o=REG3,o=GRUC-77;АНО «Московский Головной Региональный Удостоверяющий Центр» (ГРУЦ-77);"Московский Головной Региональный Удостоверяющий Центр создан на основании Распоряжения Правительства Москвы N568-РП от 10 апреля 2003 года ""О создании Московского головного регионального удостоверяющего центра"". Защита информации, обеспечение инфраструктуры открытых ключей, создание единой зоны доверия СКП удостоверяющих центров, построенных на различных программных платформах."
Удостоверяющие центры;1.2.643.3.25;С=RU,o=REG3,о=GosNII GA;ФГУП ГосНИИ ГА (НЦ ПЛГВС ГосНИИ ГА);Функции удостоверяющего центра, Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.26;"С=RU,o=REG3,о=JSC ""Server-Center""";ЗАО «Сервер-Центр» ,г . Владивосток;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.27;"С=RU,o=REG3,о=""GAZINFORMSERVISE"" Ltd.";ООО «ГАЗИНФОРМСЕРВИС»;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.28;С=RU,o=REG3,o=OJSC North-West Telecom;ОАО «Северо-Западный Телеком», г Санкт-Петербург;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.29;С=RU,o=REG3,o=LISSI Ltd;ООО «Лаборатория испытаний средств и систем информатизации» (ООО «ЛИССИ»), г Москва;"Информационные технологии; испытания средств и систем защиты информации; защита информации, в том числе в органах государственной власти РФ; разработка программно-технических комплексов защиты информации, виртуальные частные сети, шифрование данных; защита программно-аппаратных средств от несанкционированного доступа и использования; обеспечение инфраструктуры открытых ключей; разработка систем электронного документооборота с использованием ЭЦП."
Удостоверяющие центры;1.2.643.3.30;С=RU,o=REG3,o=Bizness -Protect;"ООО ""Бизнес-Защита"" г .Н овосибирск";Информационные технологии, защита информации, обеспечение инфраструктуры откртытх ключей
Удостоверяющие центры;1.2.643.3.31;"С=RU,o=REG3,o=Special Center of Program Systems "" Spectr "".";Научный филиал ФГУП НИИ «Вектор» - СЦПС «Спектр», г .С анкт-Петербург;Защита информации, обеспечение инфраструктуры открытых ключей, функции удостоверяющего центра, открытие центров регистрации
Удостоверяющие центры;1.2.643.3.32;"С=RU,o=REG3,o=JSC "" Sakhalinmorsvyaz """;ОАО «Предприятие связи « Сахалинморсвязь » ,г . Южно-Сахалинск;"1. Функции удостоверяющего центра, защита информации, обеспечение инфраструктуры открытых ключей 2 . Идентификация сертификатов открытых ключей, допустимых для использования в системе ""Контур-Экстерн """
Удостоверяющие центры;1.2.643.3.33;С=RU,o=REG3,o=LLC Top Cross;ООО «Топ Кросс»;Информационные технологии, обеспечение инфраструктуры открытых ключей, корпоративный удостоверяющий центр.
Удостоверяющие центры;1.2.643.3.34;С=RU,o=REG3,o=IzhInformProject;Общество с ограниченной ответственностью Научно-производственное предприятие « Ижинформпроект », г Ижевск;Защита информации, научная деятельность, обеспечение инфраструктуры открытых ключей, функции удостоверяющего центра
Удостоверяющие центры;1.2.643.3.35;зарезервировано;;
Удостоверяющие центры;1.2.643.3.36;"C=ru,o=REG3,o=JSC ""CA MD PREI""";ЗАО МО ПНИЭИ;Защита информации
Удостоверяющие центры;1.2.643.3.37;C=ru,o=REG3,o=JSC TransTeleCom Company;ЗАО «Компания ТрансТелеКом »;Информационные технологии, защита информации, обеспечение инфраструктуры открытых ключей, открытие подчиненных удостоверяющих центров, открытие центров регистрации, удостоверение и регистрация сертификатов ЭЦП, обеспечение юридической значимости в системах электронного документооборота.
Удостоверяющие центры;1.2.643.3.38;C=ru,o=REG3,o=Electronic city Ltd;ООО «Электронный город» гКурск;"Информационные технологии: функции удостоверяющего центра; обеспечение инфраструктуры открытых ключей; формирование служебных ключей и сертификатов пользователей; взаимодействие с подчиненными удостоверяющими центрами; открытие и взаимодействие с центрами регистрации; обеспечение юридической значимости электронного документ а( ов ) в информационных системах общего пользования и корпоративных; криптографическая защита информации; защищённая электронная почта"
Удостоверяющие центры;1.2.643.3.39;C=ru,o=REG3,o=OJSC ''Network of business service'';ОАО «Сеть делового обслуживания» гТверь;Информационные технологии, защита информации, обеспечение инфраструктуры открытых ключей, в том числе для корпоративных пользователей, открытие центров регистрации
Удостоверяющие центры;1.2.643.3.40;"C=ru,o=REG3,o=""ASTRA ST''";ЗАО “Астра СТ ” , гЧелябинск;Удостоверяющий центр
Удостоверяющие центры;1.2.643.3.41;"C=ru,o=REG3,o==""Informational system Krista"" Ltd""";ООО «Информационные системы « Криста », гРыбинск;Защита информации, обеспечение инфраструктуры открытых ключей, открытие центров регистрации
Удостоверяющие центры;1.2.643.3.42;"C=ru,o=REG3,o==""JSC ""Format Link""";ООО «Формат Линк », гИжевск;Защита информации, научная деятельность, обеспечение инфраструктуры открытых ключей, функции удостоверяющего центра, учебная деятельность
Удостоверяющие центры;1.2.643.3.43;C=ru,o=REG3,o==LLC Validata;"ООО "" Валидата "", гМосква";Обеспечение инфраструктуры открытых ключей (PKI), удостоверение и регистрация сертификатов ЭЦП.
Удостоверяющие центры;1.2.643.3.44;"C=ru,o=REG3,o=""ITC "" Kami -Sever""""";ООО ИТЦ “ Ками-Север ”, Ярославль;Информационные технологии, защита информации, обеспечение инфраструктуры открытых ключей.
Удостоверяющие центры;1.2.643.3.45;"C=ru,o=REG3,o=JSC ""Kaluga Astral""";ЗАО “Калуга Астрал ”, г Калуга;Удостоверяющий центр
Удостоверяющие центры;1.2.643.3.46;C=ru,o=REG3,o=NP NCA;Некоммерческое партнерство “Национальный удостоверяющий центр”;Удостоверяющий центр - услуги удостоверяющего центра и иные услуги в области использования электронной цифровой подписи Дополнительно - услуги в области технической и криптографической защиты информации
Удостоверяющие центры;1.2.643.3.47;C=ru,o=REG3,o=OJSC Svyazintek;ОАО « Связьинтек » , г Москва;Удостоверяющий центр
Удостоверяющие центры;1.2.643.3.48;C=ru,o=REG3,o=Petrocrypt LLC;ООО “ Петрокрипт ” , г. Петрозаводск;Информационные технологии, защита информации, обеспечение инфраструктуры открытых ключей.
Удостоверяющие центры;1.2.643.3.49;C=ru,o=REG3,o=Finance Department of Irkutsk Region;Департамент финансов Иркутской    области;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.50;"C=ru,o=REG3,o=JSC ""GAZPROM""";"ОАО ""Газпром"", г . Москва";Удостоверяющие центры
Удостоверяющие центры;1.2.643.3.51;C=ru,o=REG3,o=Kazan branch of STC Atlas;Казанский филиал Федерального государственного унитарного предприятия «Научно-технический центр «Атлас» Федеральной службы безопасности Российской Федерации»., г . Казань;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.52;C=ru,o=REG3,o=CIT Finance Investment bank;КИТ Финанс Инвестиционный банк (ОАО), гСанкт-Петербург;Информационные технологии, защита информации, обеспечение инфраструктуры открытых ключей, в том числе для корпоративных пользователей, открытие центров регистрации.
Удостоверяющие центры;1.2.643.3.53;C=ru,o=REG3,o=Exclusive Solutions ltd.;ООО «Эксклюзивные решения», г Тольятти;Удостоверяющий центр
Удостоверяющие центры;1.2.643.3.54;C=ru,o=REG3,o=PNK Ltd.;Общество с ограниченной ответственностью «ПНК» , г Челябинск;Информационные технологии, защита информации, обеспечение инфраструктуры открытых ключей, открытие центров регистрации
Удостоверяющие центры;1.2.643.3.55;"C=ru,o=REG3,o=CJSC ""CDC""";ЗАО «Центр Цифровых Сертификатов», г Новосибирск;"- деятельность по распространению и техническому обслуживанию шифровальных (криптографических) средств;- деятельность по предоставлению услуг в области шифрования информации;- деятельность по выдаче сертификатов ключей электронных цифровых подписей;- деятельность по регистрации владельцев электронных цифровых подписей;- оказание услуг, связанных с использованием электронных цифровых подписей и подтверждению подлинности электронных цифровых подписей;- информационно-вычислительное обслуживание."
Удостоверяющие центры;1.2.643.3.56;"C=RU,o=REG3,o=Certification Center ""ACKOM"" Ltd";ООО Удостоверяющий центр «АСКОМ»;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.57;"C=RU,o=REG3,o=JSC ""AVTOVAZ""";Открытое акционерное общество «АВТОВАЗ», г. Тольятти;Защита информации, обеспечение инфраструктуры открытых ключей, открытие центров регистрации
Удостоверяющие центры;1.2.643.3.58;"C=RU,o=REG3,o=""Tensor""";ООО «Компания «Тензор» г Ярославль  ;Предоставление услуг специализированного оператора связи (в том числе – услуг подтверждения сроков пересылки электронных документов) в системах массового защищенного электронного документооборота
Удостоверяющие центры;1.2.643.3.59;"C=RU,o=REG3,o=LTD ""Interregional certificating Centre """;ООО “Межрегиональный удостоверяющий центр” Г Москва;Услуги удостоверяющего центра
Удостоверяющие центры;1.2.643.3.60;C=RU,o=REG3,o=Inet CA;ООО«ИНЕТ» , г . К емерово;Удостоверяющие центры
Удостоверяющие центры;1.2.643.3.61;C=ru,o=REG3,o=Organizational & Technological Solutions 2000   Ltd;ООО «Организационно-технологические решения 2000», г. Москва;Информационные технологии, разработка программно-технических комплексов, системы юридически значимого электронного документооборота, защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.62;"C=ru,o=REG3,o=GU ""Research of Yamal ""    ";Государственное учреждение «Ресурсы Ямала»   Отдел -   Региональный удостоверяющий центр ЯНАО г. Салехард;Защита   информации,   обеспечение инфраструктуры открытых ключей(PKI), открытие центров регистрации
Удостоверяющие центры;1.2.643.3.63;"C=ru,o=REG3,o=  Saint-Petersburg State Unitary Enterprise ""Saint-Petersburg Information Analysis Center""";Санкт-Петербургское государственное унитарное предприятие «Санкт-Петербургский информационно-аналитический центр»;Защита   информации,   обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.64;C=ru,o=REG3,o=The Ministry of Finance of the Republic of Kareliya;Министерство финансов Республики Карелия г .П етрозаводск,;Функции удостоверяющего центра, Взаимодействие между органами государственной власти Защита информации Обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.65;C=ru,o=REG3,o=Account Chamber;Счетная палата Российской Федерации;Защита информации, обеспечение инфраструктуры открытых ключей( PKI ) корпоративной информационной системы, функции удостоверяющего центра
Удостоверяющие центры;1.2.643.3.66;C=ru,o=REG3,o=FEDERAL INSTITUTE OF INDUSTRIAL PROPERTY;Федеральное государственное учреждение “Федеральный институт промышленной собственности Федеральной службы по интеллектуальной собственности, патентам и товарным знакам” Г Москва;Защита информации, обеспечение инфраструктуры открытых ключей( PKI ) корпоративной информационной системы, функции удостоверяющего центра
Удостоверяющие центры;1.2.643.3.67;C=ru,o=REG3,o=FGUP FKC Zemlya;Федеральное государственное унитарное предприятие «Федеральный кадастровый центр «Земля»;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.68;C=ru,o=REG3,o=SLAVSERVIS-SVYAZ;ОО О« Славсервис-Связь » г Орел;"Функции удостоверяющего центра; Информационные технологии; защита информации; обеспечение инфраструктуры открытых ключей;"
Удостоверяющие центры;1.2.643.3.69;C=ru,o=REG3,o=Information medical center,SLL;ООО «Информационный медицинский центр» г Самара;Информационные технологии, защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.70;C=ru,o=REG3,o=C=ru,o=reg3,o=The Ministry of Agriculture and Produce of the Republic of Kalmykia    ;Министерство сельского хозяйства и продовольствия Республики Калмыкия г. Элиста;обеспечение инфраструктуры открытых ключей, взаимодействие между органами государственной власти, функции удостоверяющего центра, предоставление государственных услуг с применением ЭЦП в рамках Административных регламентов Министерства сельского хозяйства и продовольствия Республики Калмыкия по технологии «единое окно», внедрение и эксплуатация систем юридически значимого электронного документооборота с применением ЭЦП в АПК Республики Калмыкия
Удостоверяющие центры;1.2.643.3.71;"C=ru,o=REG3,  o="" Garant Telecom"" Ltd";Общество с ограниченной ответственностью «Гарант Телеком» г Смоленск;Функции удостоверяющего центра
Удостоверяющие центры;1.2.643.3.72;C=ru,o=REG3,o=Moscow Engineering-Physics Institute;Государственное образовательное учреждение высшего профессионального образования «Московский инженерно-физический институт (государственный университет)» – МИФИ;Образовательная деятельность, научная деятельность, информационные технологии, защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.73;C=ru,o=REG3,o=Main Scientific Center of Information and Calculation of the FCS of Russia;СГУ «Главный научно-информационный вычислительный центр ФТС России»;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.74;C=ru,o=REG3,o=SyktSU RUNCRK CA   ;Государственное образовательное учреждение высшего профессионального образования «Сыктывкарский   государственный университет» (структурное подразделение Региональный учебно-научный центр по проблемам информационной безопасности в системе высшей школы РФ);Образовательная деятельность, научная деятельность, информационные технологии, защита информации, обеспечение инфраструктуры открытых ключей, функции удостоверяющего центра
Удостоверяющие центры;1.2.643.3.75;C=ru,o=REG3,o=Link-Service LTD;ООО « Линк - c ервис » г. Челябинск;Удостоверяющий центр Специализированный оператор связи в системах электронного документооборота Производитель программного обеспечения
Удостоверяющие центры;1.2.643.3.76;"C=ru,o=REG3,o=JSC ""ENERGY INDUSTRY CA """;ОАО «Удостоверяющий центр электронных цифровых подписей Электроэнергетики». г Москва;Системы юридически значимого электронного документооборота, защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.77;"C=ru,o=REG3,о="" Irkut Corporation""";ОАО «Научно-производственная корпорация «Иркут» г. Москва;Выпуск сертификатов ЭЦП
Удостоверяющие центры;1.2.643.3.78;"C=ru,o=REG3,о=""E-Portal""";"Общество с ограниченной ответственностью ""Электронный портал"" . г . Омск";Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.79;C=ru,o=REG3,о=PACIFICA;ООО «ПАЦИФИКА» г. Москва,;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.80;"C=ru,o=REG3,о=""Educational centre ""Meson""";Негосударственное образовательное учреждение дополнительного образования «Учебный центр «Мезон»   г. Вологда;"Функции удостоверяющего центра; Обеспечение межведомственного взаимодействия юридически значимым электронным документооборотом   с использованием инфраструктуры открытых ключей(PKI); Защита конфиденциальной информации в части: - распространения шифровальных (криптографических) средств; - технического обслуживания шифровальных (криптографических) средств; - предоставления услуг в области шифрования информации."
Удостоверяющие центры;1.2.643.3.81;"C=ru,o=REG3,o=JSC""SBERCARD""";Закрытое акционерное общество «СБЕРКАРТА» (ЗАО «СБЕРКАРТА») гМосква;Информационные технологии, защита информации, обеспечение инфраструктуры открытых ключей, открытие подчиненных удостоверяющих центров, открытие центров регистрации, удостоверение и регистрация сертификатов ЭЦП, обеспечение юридической значимости в системах электронного документооборота.
Удостоверяющие центры;1.2.643.3.82;C=ru,o=REG3,o=Filial FGUP GNIVC FNS Rossii v Sibirskom Federalnom okruge;Филиал ФГУП ГНИВЦ ФНС России в Сибирском Федеральном округе;Удостоверяющий центр, защита информации, обеспечение инфраструктуры открытых ключей, обеспечение юридической значимости в системах электронного документооборота
Удостоверяющие центры;1.2.643.3.83;"C=ru,o=REG3,o=Novosibirsk Scientific and Technical   Centre ""Atlas"" С 20.02.2008 C=ru,o=REG3,o=Novosibirsk Filial Federal State Unitary Enterprise "" CentrInform ""  ";Новосибирский филиал ФГУП «НТЦ «Атлас»   С 20.02.2008 Новосибирский филиал федерального государственного унитарного предприятия « ЦентрИнформ » ( НвсФ ФГУП « ЦентрИнформ »)      ;Удостоверяющий центр, защита информации, обеспечение инфраструктуры открытых ключей, обеспечение юридической значимости в системах электронного документооборота
Удостоверяющие центры;1.2.643.3.84;C=ru,o=REG3,o=Integrator,Ltd;ООО «Интегратор» Республика Башкортостан;Удостоверяющий центр
Удостоверяющие центры;1.2.643.3.85;"C=ru,o=REG3,o=Co. Ltd ""FESISG ""MASCOM""";г. Хабаровск, ООО “ДСЦБИ “МАСКОМ”;Защита информации, обеспечение инфраструктуры открытых ключей, открытие центров регистрации
Удостоверяющие центры;1.2.643.3.86;"C=ru,o=REG3,o=""FORUS"" Ltd";г .И ркутск,   ООО НПФ “ Форус ”;"Защита информации; Обеспечение инфраструктуры открытых ключей; Функции удостоверяющего центра ."
Удостоверяющие центры;1.2.643.3.87;C=ru,o=REG3,o=EXPOBANK LTD;Москва Коммерческий банк “ЭКСПОБАНК”;Корпоративная информационная система, обеспечение инфраструктуры открытых ключей корпоративной информационной системы
Удостоверяющие центры;1.2.643.3.88;"C=ru,o=REG3,o=OJSC "" Electronic Moscow """;  ОАО “ Электронная Москва ” , М осква;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.89;"C=ru,o=REG3,o=State Enterprise National agency ""Informational center under the President of Sakha Republic""";Государственное учреждение Национальное агентство «Информационный центр при Президенте Республики Саха (Якутия)»;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.90;C=ru,o=REG3,o=Bezopasnie Informacionnie Tehnologii Ltd;ООО «Безопасные информационные технологии»;Предоставление услуг специализированного оператора связи (в том числе – услуг подтверждения сроков пересылки электронных документов) в системах защищенного электронного документооборота
Удостоверяющие центры;1.2.643.3.91;C=ru,o=REG3,o=Guard-inform Ltd.;ООО « Гвард-Информ » Г.Тула;Осуществление функций специализированного оператора связи в системе электронного документооборота. Организация защиты информации. Построение защищенных сетей
Удостоверяющие центры;1.2.643.3.92;C=ru,o=REG3,o=ARGO-Technology Ltd;ООО « АРГО-Технолоджи » Москва;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.93;C=ru,o=REG3,o=Keysystems;ООО «КЕЙСИСТЕМС» , г. Чебоксары;Функции удостоверяющего центра
Удостоверяющие центры;1.2.643.3.94;"C=ru,o=REG3,o=ZAO "" Udostoveryayuschij tsentr Moskovskoj oblasti """;Закрытое акционерное общество «УДОСТОВЕРЯЮЩИЙ ЦЕНТР МОСКОВСКОЙ ОБЛАСТИ»  ;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.95;C=ru,o=REG3,o=Credo-S LLC;ООО «Кредо-С» г . Тула;Защита информации, обеспечение инфраструктуры открытых ключей, открытие центров регистрации, удостоверение и регистрация сертификатов ЭЦП, услуги телематических служб, защищенные телекоммуникационные сети и системы, предоставление услуг специализированного оператора связи в системах массового защищенного электронного документооборота.
Удостоверяющие центры;1.2.643.3.96;C=ru,o=REG3,o=Moscow Research and Scientific Institute of Pediatric and Childrens Surgery;ФГУ «МНИИ педиатрии и детской хирургии Росмедтехнологий »;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.97;C=ru,o=REG3,o=PROTEK;ЗАО Фирма ЦВ «ПРОТЕК» (( PROTEK ) г .М осква,;Внутренний зашищенный документооборот , Фармдистрибуция
Удостоверяющие центры;1.2.643.3.98;"C=ru,o=REG3,o=""Engineering and Technical Centre"",  LTD";Общество с ограниченной ответственностью «Инженерно-технический центр», г . Хабаровск;Защита информации, обеспечение инфраструктуры открытых ключей, в том числе для корпоративных пользователей, функции удостоверяющего центра, открытие центров регистрации.
Удостоверяющие центры;1.2.643.3.99;"C=ru,o=REG3,o=Nizhny Novgorod branch Federal State Unitary Enterprise Scientific and Technical Centre ""Atlas""";Нижегородский филиал Федерального государственного унитарного предприятия «Научно-технический центр «Атлас»;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.100;"C=ru,o=REG3,o=Limited Liability Company ""Technical assistance center ""INFINITUM""";Общество с ограниченной ответственностью «Технический центр «ИНФИНИТУМ», г .М осква;обеспечение инфраструктуры открытых ключей для систем электронного документооборота рынка коллективных инвестиций
Удостоверяющие центры;1.2.643.3.101;C=ru,o=REG3,o=Department of the finance of Administration of city of Salekhard;Департамент финансов Администрации города Салехарда;Защита информации, обеспечение инфраструктуры открытых ключей (PKI), открытие центров регистрации
Удостоверяющие центры;1.2.643.3.102;"C=ru,o=REG3,o=LLP ""RPC ""Partner""";ООО « Регистрационно-процессинговый центр «Партнер», г .С аратов;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.103;C=ru,o=REG3,o=XXXXXX;Зарезервировано;Зарезервировано
Удостоверяющие центры;1.2.643.3.104;"C=ru,o=REG3,o=Ryazan branch of STC "" Atlas """;Рязанский филиал Федерального государственного унитарного предприятия «Научно-технический центр «Атлас», г .Р язань;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.105;C=ru,o=REG3,o=Signal-COM JSC;ЗАО « Сигнал - КОМ », гМосква;"Функции удостоверяющего центра (портал www . e - notary . ru ); услуги аутсорсинга в части организации инфраструктуры открытых ключей ( PKI ) предприятия и обслуживания корпоративных сертификатов;   разработка средств защиты информации, включая ПО для создания систем PKI («УЦ Notary - PRO » с инфраструктурой)  "
Удостоверяющие центры;1.2.643.3.106;C=ru,o=REG3,o=FGUP NPP Gamma;«Научно-производственное предприятие «Гамма» , г Москва;Удостоверяющий центр - услуги удостоверяющего центра и иные услуги в области использования электронной цифровой подписи Дополнительно - услуги в области технической и криптографической защиты информации, услуги конфиденциальной связи, услуги защищенных телематических служб и передачи данных
Удостоверяющие центры;1.2.643.3.107;"C=ru,o=REG3,o=Telecommunicational company "" Kontakt";ООО Телекоммуникационная компания “Контакт” Г.Воронеж;"-информационные технологии; - защита информации; -обеспечение инфраструктуры открытых ключей; - открытие центров регистрации"
Удостоверяющие центры;1.2.643.3.108;C=ru,o=REG3,o=Extrim pro company,Ltd;"ООО ""Компания Экстрим про"", гЕкатеринбург";Функции удостоверяющего центра. Идентификация областей использования ключей.
Удостоверяющие центры;1.2.643.3.109;;Федеральный фонд обязательного медицинского страхования, сокращенное наименование-ФОМС;Функции удостоверяющего центра. Защита информации, обеспечение инфраструктуры открытых ключей.
Удостоверяющие центры;1.2.643.3.110;"C=ru,o=REG3,o=LLC "" Kordon """;ООО «Кордон», г . Ростов-на-Дону;Удостоверяющий центр-услуги удостоверяющего центра и иные услуги в области использования ЭЦП, защита информации, обеспечение инфраструктуры открытых ключей, обеспечение юридической значимости в системах электронного документооборота
Удостоверяющие центры;1.2.643.3.111;C=ru,o=REG3,o=State Corporation on Construction of Olympic Venues and Development of Sochi as Mountain Climatic Resort;Государственная корпорация по строительству олимпийских объектов и развитию города Сочи как горноклиматического курорта;Защита информации, обеспечение инфраструктуры открытых ключей корпоративной информационной системы, функции Удостоверяющего Центра
Удостоверяющие центры;1.2.643.3.112;"C=ru,o=REG3,o=""Innovative Financial Company"" Company Limited (IFC Ltd)";Общество с ограниченной ответственностью «Инновационная Финансовая Компания» (ООО «ИФК») г .И жевск;Функции удостоверяющего центра
Удостоверяющие центры;1.2.643.3.113;C=ru,o=REG3,o=Ugra research institute of information technologies;Автономное учреждение Ханты-Мансийского автономного округа - Югры «Югорский научно-исследовательский институт информационных технологий»;Защита информации, обеспечение инфраструктуры открытых ключей, функции удостоверяющего центра
Удостоверяющие центры;1.2.643.3.114;С=ru,o=REG3,o=Overt code Ltd;ООО «Открытый код» г. Самара;Поддержание ключевой инфраструктуры, в том числе и инфраструктуры открытых ключей (PKI), удостоверение и регистрация сертификатов ЭЦП
Удостоверяющие центры;1.2.643.3.115;C=ru,o=REG3,o=ROSTA;Закрытое акционерное общество «Роста», г . Ростов-на-Дону,;Информационные технологии, защита информации, поддержание ключевой инфраструктуры, в том числе и инфраструктуры открытых ключей (PKI), удостоверение и регистрация сертификатов ЭЦП. Услуги Удостоверяющего Центра:   Поддерживается PKI -инфраструктура открытых ключей
