Категория эмитента;Идентификатор;Имя;Организация-эмитент;Область использования
Производители программного обеспечения;1.2.643.2.10;C=RU,o=REG2,o=ITCompany;"ЗАО Фирма "" АйТИ """;"Информационные технологии; защита информации; разработка программно-технических комплексов Автоматизированных систем аутентификации и авторизации пользователей; обеспечение инфраструктуры открытых ключей; разработка АРМ-ов на базе концепции защиты информации; защита программных средств от несанкционированного использования; разработка систем электронного документооборота с использованием ЭЦП"
Производители программного обеспечения;1.2.643.2.11;C=RU,o=REG2,o=New Adam Ltd.;"ООО ""Новый Адам"" г .М осква";"Информационные технологии; защита информации ;о беспечение инфраструктуры открытых ключей;"
Производители программного обеспечения;1.2.643.2.12;C=RU,o=REG2,o=R-Alpha Ltd.;ООО « Р-Альфа » г .М осква;"Информационные технологии; защита информации ;о беспечение инфраструктуры открытых ключей;"
Производители программного обеспечения;1.2.643.2.13;C=RU,o=REG2,o=ANCUD;"ООО Фирма ""АНКАД"" г .М осква";"Криптографическая защита информации; электронная цифровая подпись; системы разграничения и контроля доступа к информации; защита интернет-коммуникаций ; заказное проектирование."
Производители программного обеспечения;1.2.643.2.14;C=RU,o=REG2,o=Omega- Trin Ltd;"ООО "" Омега-Трин "" г .М осква";"Защита информации и информационных технологий; разработка программно-технических комплексов аутентификации и авторизации пользователей; обеспечение инфраструктуры открытых ключей (PKI); разработка специализированных защищенных АРМ-ов ; защита программных средств от несанкционированного использования; разработка подсистем защиты средствами ЭЦП и шифрования систем электронной коммерции и документооборота"
Производители программного обеспечения;1.2.643.2.15;C=RU,o=REG2,o=Taxcom Ltd;ООО « Такском » г .М осква;Разработка программного обеспечения систем массового защищенного электронного документооборота
Производители программного обеспечения;1.2.643.2.16;C=RU,o=REG2,o=JSC Server-Center;ЗАО «Сервер-Центр» г .В ладивосток;Информационные технологии, разработка программно-технических комплексов, системы юридически значимого электронного документооборота, защита информации, обеспечение инфраструктуры открытых ключей
Производители программного обеспечения;1.2.643.2.17;C=RU,o=REG2,o=GAZINFORMSERVISE Ltd;ООО «ГАЗИНФОРМСЕРВИС» г Санкт-Петербург;"Криптографическая защита информации; электронная цифровая подпись; системы разграничения и контроля доступа к информации; защита интернет-коммуникаций ; заказное проектирование."
Производители программного обеспечения;1.2.643.2.18;C=RU,o=REG2,o=LISSI Ci . Ltd;ООО «Лаборатория испытаний средств и систем информатизации» (ООО «ЛИССИ») гМосква;"Информационные технологии; испытания средств и систем защиты информации; защита информации, в том числе в органах государственной власти РФ; разработка программно-технических комплексов защиты информации, виртуальные частные сети, шифрование данных; защита программно-аппаратных средств от несанкционированного доступа и использования; обеспечение инфраструктуры открытых ключей; разработка систем электронного документооборота с использованием ЭЦП."
Производители программного обеспечения;1.2.643.2.19;"C=RU,o=REG2,o=Special Center of Program Systems "" Spectr """;Научный филиал ФГУП НИИ «Вектор» - СЦПС «Спектр», г .С анкт-Петербург;Производство программного обеспечения и программно-аппаратных устройств
